,Arists,Date,Entry,Peak,Song,Weeks
8774,KID INK featuring FETTY WAP,3/5/2016,92,57,Promise,14
8783,LUKE NASTY,3/5/2016,85,78,Might Be,10
8786,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
8791,LEE BRICE,3/5/2016,98,64,That Don't Sound Like You,11
8815,ZARA LARSSON & MNEK,3/5/2016,83,13,Never Forget You,23
8843,TIM McGRAW,3/5/2016,88,30,Humble And Kind,19
8844,CHRIS YOUNG duet with CASSADEE POPE,3/5/2016,86,40,Think Of You,20
8846,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
8862,KID INK featuring FETTY WAP,3/5/2016,92,57,Promise,14
8880,LEE BRICE,3/5/2016,98,64,That Don't Sound Like You,11
8891,LUKE NASTY,3/5/2016,85,78,Might Be,10
8912,ZARA LARSSON & MNEK,3/5/2016,83,13,Never Forget You,23
8933,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
8945,TIM McGRAW,3/5/2016,88,30,Humble And Kind,19
8964,CHRIS YOUNG duet with CASSADEE POPE,3/5/2016,86,40,Think Of You,20
8999,KID INK featuring FETTY WAP,3/5/2016,92,57,Promise,14
9007,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9021,ZARA LARSSON & MNEK,3/5/2016,83,13,Never Forget You,23
9040,TIM McGRAW,3/5/2016,88,30,Humble And Kind,19
9080,CHRIS YOUNG duet with CASSADEE POPE,3/5/2016,86,40,Think Of You,20
9100,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9148,ZARA LARSSON & MNEK,3/5/2016,83,13,Never Forget You,23
9201,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9303,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9411,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9518,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9635,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
9726,SIA featuring SEAN PAUL,3/5/2016,81,1,Cheap Thrills,52
8658,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
8664,FETTY WAP,2/27/2016,69,65,Jimmy Choo,11
8686,DIERKS BENTLEY,2/27/2016,100,35,Somewhere On A Beach,19
8688,CHASE BRYANT,2/27/2016,99,71,Little Bit Of You,11
8734,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
8758,DIERKS BENTLEY,2/27/2016,100,35,Somewhere On A Beach,19
8777,FETTY WAP,2/27/2016,69,65,Jimmy Choo,11
8787,CHASE BRYANT,2/27/2016,99,71,Little Bit Of You,11
8817,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
8837,DIERKS BENTLEY,2/27/2016,100,35,Somewhere On A Beach,19
8887,CHASE BRYANT,2/27/2016,99,71,Little Bit Of You,11
8897,FETTY WAP,2/27/2016,69,65,Jimmy Choo,11
8919,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
8944,DIERKS BENTLEY,2/27/2016,100,35,Somewhere On A Beach,19
9029,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
9057,DIERKS BENTLEY,2/27/2016,100,35,Somewhere On A Beach,19
9132,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
9240,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
9343,FUTURE featuring THE WEEKND,2/27/2016,52,18,Low Life,35
8605,ZAYN,2/20/2016,1,1,Pillowtalk,24
8630,DRAKE,2/20/2016,6,6,Summer Sixteen,14
8673,RIHANNA,2/20/2016,91,7,Needed Me,45
8679,TROYE SIVAN,2/20/2016,85,23,Youth,15
8695,ONE DIRECTION,2/20/2016,92,92,History,5
8705,ZAYN,2/20/2016,1,1,Pillowtalk,24
8722,TROYE SIVAN,2/20/2016,85,23,Youth,15
8730,DRAKE,2/20/2016,6,6,Summer Sixteen,14
8770,RIHANNA,2/20/2016,91,7,Needed Me,45
8807,ZAYN,2/20/2016,1,1,Pillowtalk,24
8822,RIHANNA,2/20/2016,91,7,Needed Me,45
8848,TROYE SIVAN,2/20/2016,85,23,Youth,15
8865,DRAKE,2/20/2016,6,6,Summer Sixteen,14
8908,ZAYN,2/20/2016,1,1,Pillowtalk,24
8909,RIHANNA,2/20/2016,91,7,Needed Me,45
9006,RIHANNA,2/20/2016,91,7,Needed Me,45
9025,ZAYN,2/20/2016,1,1,Pillowtalk,24
9106,RIHANNA,2/20/2016,91,7,Needed Me,45
9210,RIHANNA,2/20/2016,91,7,Needed Me,45
9310,RIHANNA,2/20/2016,91,7,Needed Me,45
9425,RIHANNA,2/20/2016,91,7,Needed Me,45
9531,RIHANNA,2/20/2016,91,7,Needed Me,45
8600,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
8661,ELLIE GOULDING,2/13/2016,81,43,Something In The Way You Move,10
8662,MAREN MORRIS,2/13/2016,91,50,My Church,20
8677,RASCAL FLATTS,2/13/2016,87,52,I Like The Sound Of That,16
8678,OLD DOMINION,2/13/2016,100,50,Snapback,20
8700,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
8752,MAREN MORRIS,2/13/2016,91,50,My Church,20
8763,OLD DOMINION,2/13/2016,100,50,Snapback,20
8766,RASCAL FLATTS,2/13/2016,87,52,I Like The Sound Of That,16
8771,ELLIE GOULDING,2/13/2016,81,43,Something In The Way You Move,10
8803,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
8850,OLD DOMINION,2/13/2016,100,50,Snapback,20
8858,RASCAL FLATTS,2/13/2016,87,52,I Like The Sound Of That,16
8860,MAREN MORRIS,2/13/2016,91,50,My Church,20
8907,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
8953,OLD DOMINION,2/13/2016,100,50,Snapback,20
8963,MAREN MORRIS,2/13/2016,91,50,My Church,20
9015,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
9122,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
9237,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
9340,RIHANNA featuring DRAKE,2/13/2016,9,1,Work,36
8571,PANIC! AT THE DISCO,2/6/2016,72,72,Emperor's New Clothes,2
8578,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
8581,EMPIRE OF THE SUN,2/6/2016,82,65,Walking On A Dream,3
8588,PANIC! AT THE DISCO,2/6/2016,89,89,Victorious,1
8591,PANIC! AT THE DISCO,2/6/2016,92,92,Death Of A Bachelor,1
8594,DJ SNAKE featuring BIPOLAR SUNSHINE,2/6/2016,95,20,Middle,21
8595,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
8597,ILOVEMEMPHIS,2/6/2016,98,98,Lean & Dabb,1
8599,THE WEEKND,2/6/2016,100,70,Acquainted,15
8619,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
8623,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
8669,DJ SNAKE featuring BIPOLAR SUNSHINE,2/6/2016,95,20,Middle,21
8681,THE WEEKND,2/6/2016,100,70,Acquainted,15
8702,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
8710,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
8725,DJ SNAKE featuring BIPOLAR SUNSHINE,2/6/2016,95,20,Middle,21
8775,THE WEEKND,2/6/2016,100,70,Acquainted,15
8801,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
8804,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
8823,DJ SNAKE featuring BIPOLAR SUNSHINE,2/6/2016,95,20,Middle,21
8874,THE WEEKND,2/6/2016,100,70,Acquainted,15
8903,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
8906,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
8937,DJ SNAKE featuring BIPOLAR SUNSHINE,2/6/2016,95,20,Middle,21
9008,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
9010,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
9115,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
9125,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
9231,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
9239,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
9342,MIKE POSNER,2/6/2016,79,4,I Took A Pill In Ibiza,37
9344,LUKAS GRAHAM,2/6/2016,96,2,7 Years,36
8568,BRETT ELDREDGE,1/30/2016,94,35,Drunk On Your Love,15
8583,DAVID GUETTA featuring SIA & FETTY WAP,1/30/2016,98,76,Bang My Head,6
8660,BRETT ELDREDGE,1/30/2016,94,35,Drunk On Your Love,15
8692,DAVID GUETTA featuring SIA & FETTY WAP,1/30/2016,98,76,Bang My Head,6
8743,BRETT ELDREDGE,1/30/2016,94,35,Drunk On Your Love,15
8882,BRETT ELDREDGE,1/30/2016,94,35,Drunk On Your Love,15
8549,TAYLOR SWIFT,1/23/2016,46,44,Out Of The Woods,8
8554,JEREMIH,1/23/2016,81,19,Oui,27
8557,ROBIN SCHULZ featuring FRANCESCO YATES,1/23/2016,87,44,Sugar,15
8559,CARRIE UNDERWOOD,1/23/2016,76,42,Heartbeat,14
8561,KEVIN GATES,1/23/2016,93,17,2 Phones,25
8579,CHRIS STAPLETON,1/23/2016,97,68,Nobody To Blame,15
8598,J BALVIN,1/23/2016,96,96,Ginza,3
8639,KEVIN GATES,1/23/2016,93,17,2 Phones,25
8641,CARRIE UNDERWOOD,1/23/2016,76,42,Heartbeat,14
8644,JEREMIH,1/23/2016,81,19,Oui,27
8652,TAYLOR SWIFT,1/23/2016,46,44,Out Of The Woods,8
8655,ROBIN SCHULZ featuring FRANCESCO YATES,1/23/2016,87,44,Sugar,15
8672,CHRIS STAPLETON,1/23/2016,97,68,Nobody To Blame,15
8717,KEVIN GATES,1/23/2016,93,17,2 Phones,25
8726,JEREMIH,1/23/2016,81,19,Oui,27
8750,ROBIN SCHULZ featuring FRANCESCO YATES,1/23/2016,87,44,Sugar,15
8755,CARRIE UNDERWOOD,1/23/2016,76,42,Heartbeat,14
8780,CHRIS STAPLETON,1/23/2016,97,68,Nobody To Blame,15
8818,KEVIN GATES,1/23/2016,93,17,2 Phones,25
8821,JEREMIH,1/23/2016,81,19,Oui,27
8924,JEREMIH,1/23/2016,81,19,Oui,27
8926,KEVIN GATES,1/23/2016,93,17,2 Phones,25
9033,JEREMIH,1/23/2016,81,19,Oui,27
9041,KEVIN GATES,1/23/2016,93,17,2 Phones,25
8564,KEITH URBAN,1/16/2016,94,54,Break On Me.,12
8577,FLORIDA GEORGIA LINE,1/16/2016,99,53,Confession,20
8584,ERIC CHURCH,1/16/2016,92,84,Mr. Misunderstood,5
8587,2 CHAINZ,1/16/2016,85,64,Watch Out,11
8589,RANDY HOUSER,1/16/2016,98,60,We Went,12
8665,KEITH URBAN,1/16/2016,94,54,Break On Me.,12
8668,FLORIDA GEORGIA LINE,1/16/2016,99,53,Confession,20
8670,RANDY HOUSER,1/16/2016,98,60,We Went,12
8690,2 CHAINZ,1/16/2016,85,64,Watch Out,11
8759,FLORIDA GEORGIA LINE,1/16/2016,99,53,Confession,20
8790,RANDY HOUSER,1/16/2016,98,60,We Went,12
8798,KEITH URBAN,1/16/2016,94,54,Break On Me.,12
8853,FLORIDA GEORGIA LINE,1/16/2016,99,53,Confession,20
8553,JASON DERULO,1/9/2016,100,52,Get Ugly,12
8575,KEVIN GATES,1/9/2016,94,54,Really Really,21
8585,JAMES BAY,1/9/2016,98,16,Let It Go,34
8637,JAMES BAY,1/9/2016,98,16,Let It Go,34
8657,JASON DERULO,1/9/2016,100,52,Get Ugly,12
8666,KEVIN GATES,1/9/2016,94,54,Really Really,21
8737,JAMES BAY,1/9/2016,98,16,Let It Go,34
8761,KEVIN GATES,1/9/2016,94,54,Really Really,21
8830,JAMES BAY,1/9/2016,98,16,Let It Go,34
8867,KEVIN GATES,1/9/2016,94,54,Really Really,21
8927,JAMES BAY,1/9/2016,98,16,Let It Go,34
9026,JAMES BAY,1/9/2016,98,16,Let It Go,34
9131,JAMES BAY,1/9/2016,98,16,Let It Go,34
8423,JORDAN SMITH,1/2/2016,24,24,Mary Did You Know,1
8455,EMILY ANN ROBERTS,1/2/2016,56,56,Burning House,1
8463,CHRIS BROWN,1/2/2016,64,20,Back To Sleep,20
8468,COLE SWINDELL,1/2/2016,69,31,You Should Be Here,20
8471,JORDAN SMITH,1/2/2016,72,72,Climb Every Mountain,1
8485,ANDY GRAMMER,1/2/2016,86,62,Good To Be Alive (Hallelujah),10
8489,JORDAN SMITH & ADAM LEVINE,1/2/2016,90,90,God Only Knows,1
8494,BRYSON TILLER,1/2/2016,95,67,Sorry Not Sorry,15
8497,TORI KELLY,1/2/2016,98,68,Hollow,11
8548,CHRIS BROWN,1/2/2016,64,20,Back To Sleep,20
8566,BRYSON TILLER,1/2/2016,95,67,Sorry Not Sorry,15
8569,COLE SWINDELL,1/2/2016,69,31,You Should Be Here,20
8580,TORI KELLY,1/2/2016,98,68,Hollow,11
8582,ANDY GRAMMER,1/2/2016,86,62,Good To Be Alive (Hallelujah),10
8649,CHRIS BROWN,1/2/2016,64,20,Back To Sleep,20
8654,COLE SWINDELL,1/2/2016,69,31,You Should Be Here,20
8667,TORI KELLY,1/2/2016,98,68,Hollow,11
8683,BRYSON TILLER,1/2/2016,95,67,Sorry Not Sorry,15
8689,ANDY GRAMMER,1/2/2016,86,62,Good To Be Alive (Hallelujah),10
8728,CHRIS BROWN,1/2/2016,64,20,Back To Sleep,20
8731,COLE SWINDELL,1/2/2016,69,31,You Should Be Here,20
8794,BRYSON TILLER,1/2/2016,95,67,Sorry Not Sorry,15
8854,COLE SWINDELL,1/2/2016,69,31,You Should Be Here,20
8856,CHRIS BROWN,1/2/2016,64,20,Back To Sleep,20
8437,BRENDA LEE,12/26/2015,44,30,Rockin' Around The Christmas Tree,3
8461,SELENA GOMEZ,12/26/2015,77,7,Hands To Myself,20
8480,LIL DICKY featuring FETTY WAP & RICH HOMIE QUAN,12/26/2015,87,73,$ave Dat Money,13
8490,GRANGER SMITH,12/26/2015,93,49,Backroad Song,16
8491,DAWIN,12/26/2015,89,68,Dessert,11
8495,ZAC BROWN BAND,12/26/2015,100,52,Beautiful Drug,18
8498,JORDAN SMITH,12/26/2015,21,21,Somebody To Love,2
8520,SELENA GOMEZ,12/26/2015,77,7,Hands To Myself,20
8556,GRANGER SMITH,12/26/2015,93,49,Backroad Song,16
8563,ZAC BROWN BAND,12/26/2015,100,52,Beautiful Drug,18
8567,DAWIN,12/26/2015,89,68,Dessert,11
8572,LIL DICKY featuring FETTY WAP & RICH HOMIE QUAN,12/26/2015,87,73,$ave Dat Money,13
8610,SELENA GOMEZ,12/26/2015,77,7,Hands To Myself,20
8656,GRANGER SMITH,12/26/2015,93,49,Backroad Song,16
8663,ZAC BROWN BAND,12/26/2015,100,52,Beautiful Drug,18
8694,LIL DICKY featuring FETTY WAP & RICH HOMIE QUAN,12/26/2015,87,73,$ave Dat Money,13
8699,DAWIN,12/26/2015,89,68,Dessert,11
8714,SELENA GOMEZ,12/26/2015,77,7,Hands To Myself,20
8751,ZAC BROWN BAND,12/26/2015,100,52,Beautiful Drug,18
8788,GRANGER SMITH,12/26/2015,93,49,Backroad Song,16
8834,SELENA GOMEZ,12/26/2015,77,7,Hands To Myself,20
8417,MARIAH CAREY,12/19/2015,26,11,All I Want For Christmas Is You,4
8456,YO GOTTI,12/19/2015,87,13,Down In The DM,21
8459,CHARLIE PUTH,12/19/2015,89,12,One Call Away,26
8478,FALL OUT BOY,12/19/2015,95,48,Irresistible,12
8479,HALSEY,12/19/2015,96,60,New Americana,8
8525,CHARLIE PUTH,12/19/2015,89,12,One Call Away,26
8530,YO GOTTI,12/19/2015,87,13,Down In The DM,21
8551,FALL OUT BOY,12/19/2015,95,48,Irresistible,12
8586,HALSEY,12/19/2015,96,60,New Americana,8
8611,CHARLIE PUTH,12/19/2015,89,12,One Call Away,26
8617,YO GOTTI,12/19/2015,87,13,Down In The DM,21
8693,FALL OUT BOY,12/19/2015,95,48,Irresistible,12
8713,CHARLIE PUTH,12/19/2015,89,12,One Call Away,26
8721,YO GOTTI,12/19/2015,87,13,Down In The DM,21
8826,CHARLIE PUTH,12/19/2015,89,12,One Call Away,26
8839,YO GOTTI,12/19/2015,87,13,Down In The DM,21
8941,CHARLIE PUTH,12/19/2015,89,12,One Call Away,26
8454,ADELE,12/12/2015,22,14,When We Were Young,20
8460,LUKE BRYAN featuring KAREN FAIRCHILD,12/12/2015,97,38,Home Alone Tonight,19
8466,GWEN STEFANI,12/12/2015,77,52,Used To Love You,8
8476,RACHEL PLATTEN,12/12/2015,91,37,Stand By You,19
8477,YOUNG THUG,12/12/2015,98,45,Best Friend,20
8486,KELSEA BALLERINI,12/12/2015,94,58,Dibs,14
8492,BIG SEAN featuring CHRIS BROWN & TY DOLLA $IGN,12/12/2015,99,89,Play No Games,11
8534,ADELE,12/12/2015,22,14,When We Were Young,20
8541,RACHEL PLATTEN,12/12/2015,91,37,Stand By You,19
8543,LUKE BRYAN featuring KAREN FAIRCHILD,12/12/2015,97,38,Home Alone Tonight,19
8544,YOUNG THUG,12/12/2015,98,45,Best Friend,20
8570,KELSEA BALLERINI,12/12/2015,94,58,Dibs,14
8590,BIG SEAN featuring CHRIS BROWN & TY DOLLA $IGN,12/12/2015,99,89,Play No Games,11
8613,ADELE,12/12/2015,22,14,When We Were Young,20
8640,RACHEL PLATTEN,12/12/2015,91,37,Stand By You,19
8650,YOUNG THUG,12/12/2015,98,45,Best Friend,20
8651,LUKE BRYAN featuring KAREN FAIRCHILD,12/12/2015,97,38,Home Alone Tonight,19
8659,KELSEA BALLERINI,12/12/2015,94,58,Dibs,14
8733,ADELE,12/12/2015,22,14,When We Were Young,20
8756,YOUNG THUG,12/12/2015,98,45,Best Friend,20
8760,RACHEL PLATTEN,12/12/2015,91,37,Stand By You,19
8784,LUKE BRYAN featuring KAREN FAIRCHILD,12/12/2015,97,38,Home Alone Tonight,19
8303,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8329,JORDAN SMITH,12/5/2015,30,30,Great Is Thy Faithfulness,1
8330,JUSTIN BIEBER featuring HALSEY,12/5/2015,31,31,The Feeling,7
8341,JUSTIN BIEBER,12/5/2015,42,42,Mark My Words,4
8342,JUSTIN BIEBER,12/5/2015,43,43,Purpose,7
8348,JUSTIN BIEBER featuring BIG SEAN,12/5/2015,49,49,No Pressure,4
8352,JUSTIN BIEBER,12/5/2015,53,53,Company,4
8353,JUSTIN BIEBER featuring TRAVI$ SCOTT,12/5/2015,54,54,No Sense,3
8366,JUSTIN BIEBER,12/5/2015,67,67,Life Is Worth Living,2
8373,JUSTIN BIEBER,12/5/2015,74,74,Children,1
8380,JUSTIN BIEBER,12/5/2015,81,81,Been You,1
8382,ONE DIRECTION,12/5/2015,83,83,If I Could Fly,1
8385,THE WEEKND,12/5/2015,86,12,In The Night,19
8386,ONE DIRECTION,12/5/2015,87,87,Olivia,1
8387,JUSTIN BIEBER featuring NAS,12/5/2015,88,88,We Are,1
8389,JUSTIN BIEBER,12/5/2015,90,90,Get Used To Me,1
8393,ONE DIRECTION,12/5/2015,94,94,A.M.,1
8395,ONE DIRECTION,12/5/2015,96,96,Temporary Fix,1
8396,SHAWN MENDES & CAMILA CABELLO,12/5/2015,97,20,I Know What You Did Last Summer,20
8397,JUSTIN BIEBER,12/5/2015,98,98,Trust,1
8399,ONE DIRECTION,12/5/2015,100,100,Never Enough,1
8403,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8411,THE WEEKND,12/5/2015,86,12,In The Night,19
8445,SHAWN MENDES & CAMILA CABELLO,12/5/2015,97,20,I Know What You Did Last Summer,20
8481,JUSTIN BIEBER featuring HALSEY,12/5/2015,31,31,The Feeling,7
8499,JUSTIN BIEBER,12/5/2015,43,43,Purpose,7
8501,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8512,THE WEEKND,12/5/2015,86,12,In The Night,19
8523,SHAWN MENDES & CAMILA CABELLO,12/5/2015,97,20,I Know What You Did Last Summer,20
8601,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8614,THE WEEKND,12/5/2015,86,12,In The Night,19
8636,SHAWN MENDES & CAMILA CABELLO,12/5/2015,97,20,I Know What You Did Last Summer,20
8701,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8746,THE WEEKND,12/5/2015,86,12,In The Night,19
8781,SHAWN MENDES & CAMILA CABELLO,12/5/2015,97,20,I Know What You Did Last Summer,20
8808,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8910,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
9018,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
9136,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
9245,JUSTIN BIEBER,12/5/2015,4,1,Love Yourself,41
8321,MISSY ELLIOTT featuring PHARRELL WILLIAMS,11/28/2015,91,22,WTF (Where They From),14
8358,DLOW,11/28/2015,61,45,Bet You Can't Do It Like Me,15
8371,COLDPLAY,11/28/2015,55,13,Adventure Of A Lifetime,20
8398,FLO RIDA,11/28/2015,96,4,My House,39
8443,COLDPLAY,11/28/2015,55,13,Adventure Of A Lifetime,20
8450,FLO RIDA,11/28/2015,96,4,My House,39
8453,MISSY ELLIOTT featuring PHARRELL WILLIAMS,11/28/2015,91,22,WTF (Where They From),14
8467,DLOW,11/28/2015,61,45,Bet You Can't Do It Like Me,15
8511,FLO RIDA,11/28/2015,96,4,My House,39
8546,COLDPLAY,11/28/2015,55,13,Adventure Of A Lifetime,20
8552,DLOW,11/28/2015,61,45,Bet You Can't Do It Like Me,15
8576,MISSY ELLIOTT featuring PHARRELL WILLIAMS,11/28/2015,91,22,WTF (Where They From),14
8604,FLO RIDA,11/28/2015,96,4,My House,39
8627,COLDPLAY,11/28/2015,55,13,Adventure Of A Lifetime,20
8696,DLOW,11/28/2015,61,45,Bet You Can't Do It Like Me,15
8704,FLO RIDA,11/28/2015,96,4,My House,39
8764,COLDPLAY,11/28/2015,55,13,Adventure Of A Lifetime,20
8811,FLO RIDA,11/28/2015,96,4,My House,39
8915,FLO RIDA,11/28/2015,96,4,My House,39
9027,FLO RIDA,11/28/2015,96,4,My House,39
9137,FLO RIDA,11/28/2015,96,4,My House,39
8313,ARIANA GRANDE,11/21/2015,7,7,Focus,13
8318,JUSTIN BIEBER,11/21/2015,51,19,I'll Show You,12
8365,CHRIS STAPLETON,11/21/2015,23,20,Tennessee Whiskey,4
8388,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8432,ARIANA GRANDE,11/21/2015,7,7,Focus,13
8439,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8458,JUSTIN BIEBER,11/21/2015,51,19,I'll Show You,12
8515,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8550,ARIANA GRANDE,11/21/2015,7,7,Focus,13
8574,JUSTIN BIEBER,11/21/2015,51,19,I'll Show You,12
8607,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8706,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8809,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8917,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
9031,G-EAZY & BEBE REXHA,11/21/2015,83,7,"Me, Myself & I",37
8300,ADELE,11/14/2015,1,1,Hello,26
8301,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8377,BRYSON TILLER,11/14/2015,98,26,Exchange,34
8391,LOCASH,11/14/2015,97,56,I Love This Life,18
8400,ADELE,11/14/2015,1,1,Hello,26
8401,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8447,BRYSON TILLER,11/14/2015,98,26,Exchange,34
8472,LOCASH,11/14/2015,97,56,I Love This Life,18
8500,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8502,ADELE,11/14/2015,1,1,Hello,26
8538,BRYSON TILLER,11/14/2015,98,26,Exchange,34
8555,LOCASH,11/14/2015,97,56,I Love This Life,18
8603,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8606,ADELE,11/14/2015,1,1,Hello,26
8642,BRYSON TILLER,11/14/2015,98,26,Exchange,34
8698,LOCASH,11/14/2015,97,56,I Love This Life,18
8707,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8715,ADELE,11/14/2015,1,1,Hello,26
8729,BRYSON TILLER,11/14/2015,98,26,Exchange,34
8820,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8831,BRYSON TILLER,11/14/2015,98,26,Exchange,34
8835,ADELE,11/14/2015,1,1,Hello,26
8928,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8936,BRYSON TILLER,11/14/2015,98,26,Exchange,34
9032,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
9045,BRYSON TILLER,11/14/2015,98,26,Exchange,34
9144,JUSTIN BIEBER,11/14/2015,2,1,Sorry,42
8209,ONE DIRECTION,11/7/2015,10,10,Perfect,20
8278,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8289,TORY LANEZ,11/7/2015,90,23,Say It,24
8291,JASON ALDEAN,11/7/2015,92,54,Gonna Know We Were Here,15
8294,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8296,ONE DIRECTION,11/7/2015,97,74,Home,2
8297,FALL OUT BOY,11/7/2015,98,98,Irresistible,1
8298,PENTATONIX,11/7/2015,99,99,Can't Sleep Love,1
8336,ONE DIRECTION,11/7/2015,10,10,Perfect,20
8350,TORY LANEZ,11/7/2015,90,23,Say It,24
8361,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8372,JASON ALDEAN,11/7/2015,92,54,Gonna Know We Were Here,15
8392,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8425,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8427,TORY LANEZ,11/7/2015,90,23,Say It,24
8431,ONE DIRECTION,11/7/2015,10,10,Perfect,20
8446,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8465,JASON ALDEAN,11/7/2015,92,54,Gonna Know We Were Here,15
8507,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8521,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8522,TORY LANEZ,11/7/2015,90,23,Say It,24
8537,ONE DIRECTION,11/7/2015,10,10,Perfect,20
8573,JASON ALDEAN,11/7/2015,92,54,Gonna Know We Were Here,15
8608,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8609,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8629,TORY LANEZ,11/7/2015,90,23,Say It,24
8671,ONE DIRECTION,11/7/2015,10,10,Perfect,20
8708,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8716,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8736,TORY LANEZ,11/7/2015,90,23,Say It,24
8810,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8832,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
8916,DNCE,11/7/2015,79,9,Cake By The Ocean,46
8947,THE CHAINSMOKERS featuring ROZES,11/7/2015,95,6,Roses,31
9024,DNCE,11/7/2015,79,9,Cake By The Ocean,46
9138,DNCE,11/7/2015,79,9,Cake By The Ocean,46
